country,year,sex,age,suicides_no,population,country-year,HDI for year, gdp_for_year ($) ,gdp_per_capita ($),generation,suicides/100k pop
Albania,1989,male,5-14 years,0,349700,Albania1989,,"2,33,51,24,988",833,Generation X,0
Albania,1992,male,35-54 years,12,343800,Albania1992,,"70,94,52,584",251,Boomers,3.49
Albania,1992,male,15-24 years,9,263700,Albania1992,,"70,94,52,584",251,Generation X,3.41
Albania,1992,male,55-74 years,5,159500,Albania1992,,"70,94,52,584",251,Silent,3.13
Albania,1992,male,25-34 years,7,245500,Albania1992,,"70,94,52,584",251,Boomers,2.85
Albania,1992,female,15-24 years,7,292400,Albania1992,,"70,94,52,584",251,Generation X,2.39
Albania,1992,female,25-34 years,4,267400,Albania1992,,"70,94,52,584",251,Boomers,1.5
Albania,1992,female,35-54 years,2,323100,Albania1992,,"70,94,52,584",251,Boomers,0.62
Albania,1992,female,55-74 years,1,164900,Albania1992,,"70,94,52,584",251,Silent,0.61
Albania,1992,female,5-14 years,0,336700,Albania1992,,"70,94,52,584",251,Millenials,0
Albania,1992,female,75+ years,0,38700,Albania1992,,"70,94,52,584",251,G.I. Generation,0
Albania,1992,male,5-14 years,0,362900,Albania1992,,"70,94,52,584",251,Millenials,0
Albania,1992,male,75+ years,0,23900,Albania1992,,"70,94,52,584",251,G.I. Generation,0
Albania,1993,male,15-24 years,18,243300,Albania1993,,"1,22,80,71,038",437,Generation X,7.4
Albania,1993,male,55-74 years,7,165000,Albania1993,,"1,22,80,71,038",437,Silent,4.24
Albania,1993,male,75+ years,1,24200,Albania1993,,"1,22,80,71,038",437,G.I. Generation,4.13
Albania,1993,male,25-34 years,9,230100,Albania1993,,"1,22,80,71,038",437,Boomers,3.91
Albania,1993,female,15-24 years,10,285300,Albania1993,,"1,22,80,71,038",437,Generation X,3.51
Albania,1993,male,35-54 years,10,350300,Albania1993,,"1,22,80,71,038",437,Boomers,2.85
Albania,1993,female,25-34 years,7,261800,Albania1993,,"1,22,80,71,038",437,Boomers,2.67
Albania,1993,female,35-54 years,7,331200,Albania1993,,"1,22,80,71,038",437,Boomers,2.11
Albania,1993,female,55-74 years,2,169500,Albania1993,,"1,22,80,71,038",437,Silent,1.18
Albania,1993,female,5-14 years,1,340300,Albania1993,,"1,22,80,71,038",437,Millenials,0.29
Albania,1993,male,5-14 years,1,367000,Albania1993,,"1,22,80,71,038",437,Millenials,0.27
Albania,1993,female,75+ years,0,39300,Albania1993,,"1,22,80,71,038",437,G.I. Generation,0
Albania,1994,male,75+ years,2,24600,Albania1994,,"1,98,56,73,798",697,G.I. Generation,8.13
Albania,1994,male,55-74 years,11,171400,Albania1994,,"1,98,56,73,798",697,Silent,6.42
Albania,1994,female,75+ years,2,39900,Albania1994,,"1,98,56,73,798",697,G.I. Generation,5.01
Albania,1994,male,25-34 years,6,231400,Albania1994,,"1,98,56,73,798",697,Boomers,2.59
Albania,1994,male,35-54 years,9,362800,Albania1994,,"1,98,56,73,798",697,Boomers,2.48
Albania,1994,male,15-24 years,6,242200,Albania1994,,"1,98,56,73,798",697,Generation X,2.48
Albania,1994,female,15-24 years,6,282600,Albania1994,,"1,98,56,73,798",697,Generation X,2.12
Albania,1994,female,25-34 years,4,261100,Albania1994,,"1,98,56,73,798",697,Boomers,1.53
Albania,1994,female,35-54 years,2,342500,Albania1994,,"1,98,56,73,798",697,Boomers,0.58
Albania,1994,female,55-74 years,1,174600,Albania1994,,"1,98,56,73,798",697,Silent,0.57
Albania,1994,male,5-14 years,1,371800,Albania1994,,"1,98,56,73,798",697,Millenials,0.27
Albania,1994,female,5-14 years,0,344400,Albania1994,,"1,98,56,73,798",697,Millenials,0
Albania,1995,male,25-34 years,13,232900,Albania1995,0.619,"2,42,44,99,009",835,Generation X,5.58
Albania,1995,male,55-74 years,9,178000,Albania1995,0.619,"2,42,44,99,009",835,Silent,5.06
Albania,1995,female,75+ years,2,40800,Albania1995,0.619,"2,42,44,99,009",835,G.I. Generation,4.9
Albania,1995,female,15-24 years,13,283500,Albania1995,0.619,"2,42,44,99,009",835,Generation X,4.59
Albania,1995,male,15-24 years,11,241200,Albania1995,0.619,"2,42,44,99,009",835,Generation X,4.56
Albania,1995,male,75+ years,1,25100,Albania1995,0.619,"2,42,44,99,009",835,G.I. Generation,3.98
Albania,1995,male,35-54 years,14,375900,Albania1995,0.619,"2,42,44,99,009",835,Boomers,3.72
Albania,1995,female,25-34 years,7,264000,Albania1995,0.619,"2,42,44,99,009",835,Generation X,2.65
Albania,1995,female,35-54 years,8,356400,Albania1995,0.619,"2,42,44,99,009",835,Boomers,2.24
Albania,1995,male,5-14 years,6,376500,Albania1995,0.619,"2,42,44,99,009",835,Millenials,1.59
Albania,1995,female,55-74 years,2,180400,Albania1995,0.619,"2,42,44,99,009",835,Silent,1.11
Albania,1995,female,5-14 years,2,348700,Albania1995,0.619,"2,42,44,99,009",835,Millenials,0.57
Albania,1996,male,75+ years,2,25400,Albania1996,,"3,31,48,98,292",1127,G.I. Generation,7.87
Albania,1996,male,15-24 years,17,243600,Albania1996,,"3,31,48,98,292",1127,Generation X,6.98
Albania,1996,male,25-34 years,14,235300,Albania1996,,"3,31,48,98,292",1127,Generation X,5.95
Albania,1996,female,15-24 years,16,287700,Albania1996,,"3,31,48,98,292",1127,Generation X,5.56
Albania,1996,female,75+ years,2,41200,Albania1996,,"3,31,48,98,292",1127,G.I. Generation,4.85
Albania,1996,female,25-34 years,10,267900,Albania1996,,"3,31,48,98,292",1127,Generation X,3.73
Albania,1996,male,35-54 years,12,379600,Albania1996,,"3,31,48,98,292",1127,Boomers,3.16
Albania,1996,female,35-54 years,9,362000,Albania1996,,"3,31,48,98,292",1127,Boomers,2.49
Albania,1996,male,55-74 years,3,179900,Albania1996,,"3,31,48,98,292",1127,Silent,1.67
Albania,1996,female,55-74 years,1,183100,Albania1996,,"3,31,48,98,292",1127,Silent,0.55
Albania,1996,male,5-14 years,2,380400,Albania1996,,"3,31,48,98,292",1127,Millenials,0.53
Albania,1996,female,5-14 years,1,354100,Albania1996,,"3,31,48,98,292",1127,Millenials,0.28
Albania,1997,male,25-34 years,36,236000,Albania1997,,"2,35,99,03,108",793,Generation X,15.25
Albania,1997,male,15-24 years,33,244400,Albania1997,,"2,35,99,03,108",793,Generation X,13.5
Albania,1997,male,75+ years,3,25400,Albania1997,,"2,35,99,03,108",793,G.I. Generation,11.81
Albania,1997,male,35-54 years,30,380800,Albania1997,,"2,35,99,03,108",793,Boomers,7.88
Albania,1997,female,15-24 years,21,294000,Albania1997,,"2,35,99,03,108",793,Generation X,7.14
Albania,1997,male,55-74 years,12,180300,Albania1997,,"2,35,99,03,108",793,Silent,6.66
Albania,1997,female,25-34 years,16,273900,Albania1997,,"2,35,99,03,108",793,Generation X,5.84
Albania,1997,female,75+ years,2,42100,Albania1997,,"2,35,99,03,108",793,G.I. Generation,4.75
Albania,1997,female,35-54 years,7,370100,Albania1997,,"2,35,99,03,108",793,Boomers,1.89
Albania,1997,female,5-14 years,6,361800,Albania1997,,"2,35,99,03,108",793,Millenials,1.66
Albania,1997,male,5-14 years,4,381500,Albania1997,,"2,35,99,03,108",793,Millenials,1.05
Albania,1997,female,55-74 years,0,187000,Albania1997,,"2,35,99,03,108",793,Silent,0
Albania,1998,male,75+ years,3,25800,Albania1998,,"2,70,71,23,772",899,G.I. Generation,11.63
Albania,1998,male,15-24 years,27,248800,Albania1998,,"2,70,71,23,772",899,Generation X,10.85
Albania,1998,female,15-24 years,32,295600,Albania1998,,"2,70,71,23,772",899,Generation X,10.83
Albania,1998,male,25-34 years,26,240400,Albania1998,,"2,70,71,23,772",899,Generation X,10.82
Albania,1998,male,35-54 years,29,388200,Albania1998,,"2,70,71,23,772",899,Boomers,7.47
Albania,1998,male,55-74 years,9,183800,Albania1998,,"2,70,71,23,772",899,Silent,4.9
Albania,1998,female,25-34 years,10,275300,Albania1998,,"2,70,71,23,772",899,Generation X,3.63
Albania,1998,female,55-74 years,6,188200,Albania1998,,"2,70,71,23,772",899,Silent,3.19
Albania,1998,female,35-54 years,9,372100,Albania1998,,"2,70,71,23,772",899,Boomers,2.42
Albania,1998,male,5-14 years,2,388400,Albania1998,,"2,70,71,23,772",899,Millenials,0.51
Albania,1998,female,5-14 years,1,363800,Albania1998,,"2,70,71,23,772",899,Millenials,0.27
Albania,1998,female,75+ years,0,42300,Albania1998,,"2,70,71,23,772",899,G.I. Generation,0
Albania,1999,male,75+ years,3,25900,Albania1999,,"3,41,47,60,915",1127,G.I. Generation,11.58
Albania,1999,male,15-24 years,24,250600,Albania1999,,"3,41,47,60,915",1127,Generation X,9.58
Albania,1999,female,75+ years,4,42400,Albania1999,,"3,41,47,60,915",1127,G.I. Generation,9.43
Albania,1999,male,35-54 years,31,391100,Albania1999,,"3,41,47,60,915",1127,Boomers,7.93
Albania,1999,male,25-34 years,19,242300,Albania1999,,"3,41,47,60,915",1127,Generation X,7.84
Albania,1999,male,55-74 years,14,185200,Albania1999,,"3,41,47,60,915",1127,Silent,7.56
Albania,1999,female,15-24 years,19,296800,Albania1999,,"3,41,47,60,915",1127,Generation X,6.4
Albania,1999,female,25-34 years,13,276500,Albania1999,,"3,41,47,60,915",1127,Generation X,4.7
Albania,1999,female,55-74 years,6,188800,Albania1999,,"3,41,47,60,915",1127,Silent,3.18
Albania,1999,female,35-54 years,5,373600,Albania1999,,"3,41,47,60,915",1127,Boomers,1.34
Albania,1999,female,5-14 years,1,365200,Albania1999,,"3,41,47,60,915",1127,Millenials,0.27
Albania,1999,male,5-14 years,0,391300,Albania1999,,"3,41,47,60,915",1127,Millenials,0
Albania,2000,male,25-34 years,17,232000,Albania2000,0.656,"3,63,20,43,908",1299,Generation X,7.33
Albania,2000,male,55-74 years,10,177400,Albania2000,0.656,"3,63,20,43,908",1299,Silent,5.64
Albania,2000,female,75+ years,2,37800,Albania2000,0.656,"3,63,20,43,908",1299,G.I. Generation,5.29
Albania,2000,male,75+ years,1,24900,Albania2000,0.656,"3,63,20,43,908",1299,G.I. Generation,4.02
Albania,2000,female,15-24 years,6,263900,Albania2000,0.656,"3,63,20,43,908",1299,Generation X,2.27
Albania,2000,male,15-24 years,5,240000,Albania2000,0.656,"3,63,20,43,908",1299,Generation X,2.08
Albania,2000,female,35-54 years,5,332200,Albania2000,0.656,"3,63,20,43,908",1299,Boomers,1.51
Albania,2000,female,25-34 years,3,245800,Albania2000,0.656,"3,63,20,43,908",1299,Generation X,1.22
Albania,2000,male,35-54 years,4,374700,Albania2000,0.656,"3,63,20,43,908",1299,Boomers,1.07
Albania,2000,male,5-14 years,1,374900,Albania2000,0.656,"3,63,20,43,908",1299,Millenials,0.27
Albania,2000,female,5-14 years,0,324700,Albania2000,0.656,"3,63,20,43,908",1299,Millenials,0
Albania,2000,female,55-74 years,0,168000,Albania2000,0.656,"3,63,20,43,908",1299,Silent,0
Albania,2001,male,25-34 years,22,206484,Albania2001,,"4,06,07,58,804",1451,Generation X,10.65
Albania,2001,male,35-54 years,34,378826,Albania2001,,"4,06,07,58,804",1451,Boomers,8.98
Albania,2001,male,55-74 years,11,196670,Albania2001,,"4,06,07,58,804",1451,Silent,5.59
Albania,2001,female,75+ years,2,47254,Albania2001,,"4,06,07,58,804",1451,Silent,4.23
Albania,2001,male,15-24 years,10,256039,Albania2001,,"4,06,07,58,804",1451,Millenials,3.91
Albania,2001,female,15-24 years,9,271359,Albania2001,,"4,06,07,58,804",1451,Millenials,3.32
Albania,2001,female,35-54 years,12,370191,Albania2001,,"4,06,07,58,804",1451,Boomers,3.24
Albania,2001,male,75+ years,1,31044,Albania2001,,"4,06,07,58,804",1451,Silent,3.22
Albania,2001,female,55-74 years,6,189799,Albania2001,,"4,06,07,58,804",1451,Silent,3.16
Albania,2001,male,5-14 years,6,321556,Albania2001,,"4,06,07,58,804",1451,Millenials,1.87
Albania,2001,female,25-34 years,4,222771,Albania2001,,"4,06,07,58,804",1451,Generation X,1.8
Albania,2001,female,5-14 years,2,307356,Albania2001,,"4,06,07,58,804",1451,Millenials,0.65
Albania,2002,male,75+ years,4,31007,Albania2002,,"4,43,50,78,648",1573,Silent,12.9
Albania,2002,male,25-34 years,23,206286,Albania2002,,"4,43,50,78,648",1573,Generation X,11.15
Albania,2002,male,35-54 years,35,382139,Albania2002,,"4,43,50,78,648",1573,Boomers,9.16
Albania,2002,male,55-74 years,13,198130,Albania2002,,"4,43,50,78,648",1573,Silent,6.56
Albania,2002,male,15-24 years,15,263067,Albania2002,,"4,43,50,78,648",1573,Millenials,5.7
Albania,2002,female,15-24 years,14,275970,Albania2002,,"4,43,50,78,648",1573,Millenials,5.07
Albania,2002,female,35-54 years,15,375113,Albania2002,,"4,43,50,78,648",1573,Boomers,4
Albania,2002,female,25-34 years,7,223685,Albania2002,,"4,43,50,78,648",1573,Generation X,3.13
Albania,2002,female,75+ years,1,47407,Albania2002,,"4,43,50,78,648",1573,Silent,2.11
Albania,2002,female,55-74 years,4,191712,Albania2002,,"4,43,50,78,648",1573,Silent,2.09
Albania,2002,female,5-14 years,1,304850,Albania2002,,"4,43,50,78,648",1573,Millenials,0.33
Albania,2002,male,5-14 years,1,319473,Albania2002,,"4,43,50,78,648",1573,Millenials,0.31
Albania,2003,female,75+ years,6,49088,Albania2003,,"5,74,69,45,913",2021,Silent,12.22
Albania,2003,male,55-74 years,16,201520,Albania2003,,"5,74,69,45,913",2021,Silent,7.94
Albania,2003,male,35-54 years,28,386196,Albania2003,,"5,74,69,45,913",2021,Boomers,7.25
Albania,2003,male,15-24 years,15,273235,Albania2003,,"5,74,69,45,913",2021,Millenials,5.49
Albania,2003,female,15-24 years,14,283709,Albania2003,,"5,74,69,45,913",2021,Millenials,4.93
Albania,2003,female,55-74 years,9,195699,Albania2003,,"5,74,69,45,913",2021,Silent,4.6
Albania,2003,male,25-34 years,9,205433,Albania2003,,"5,74,69,45,913",2021,Generation X,4.38
Albania,2003,female,25-34 years,9,222941,Albania2003,,"5,74,69,45,913",2021,Generation X,4.04
Albania,2003,female,35-54 years,13,381760,Albania2003,,"5,74,69,45,913",2021,Boomers,3.41
Albania,2003,male,75+ years,1,32667,Albania2003,,"5,74,69,45,913",2021,Silent,3.06
Albania,2003,male,5-14 years,4,313204,Albania2003,,"5,74,69,45,913",2021,Millenials,1.28
Albania,2003,female,5-14 years,0,298477,Albania2003,,"5,74,69,45,913",2021,Millenials,0
Albania,2004,male,75+ years,4,35526,Albania2004,,"7,31,48,65,176",2544,Silent,11.26
Albania,2004,male,35-54 years,39,391767,Albania2004,,"7,31,48,65,176",2544,Boomers,9.95
Albania,2004,male,25-34 years,16,203938,Albania2004,,"7,31,48,65,176",2544,Generation X,7.85
Albania,2004,female,15-24 years,20,292268,Albania2004,,"7,31,48,65,176",2544,Millenials,6.84
Albania,2004,male,15-24 years,19,286768,Albania2004,,"7,31,48,65,176",2544,Millenials,6.63
Albania,2004,female,75+ years,3,50970,Albania2004,,"7,31,48,65,176",2544,Silent,5.89
Albania,2004,female,25-34 years,11,222389,Albania2004,,"7,31,48,65,176",2544,Generation X,4.95
Albania,2004,male,55-74 years,10,207202,Albania2004,,"7,31,48,65,176",2544,Silent,4.83
Albania,2004,female,35-54 years,17,391436,Albania2004,,"7,31,48,65,176",2544,Boomers,4.34
Albania,2004,female,55-74 years,3,203841,Albania2004,,"7,31,48,65,176",2544,Silent,1.47
Albania,2004,female,5-14 years,3,286705,Albania2004,,"7,31,48,65,176",2544,Millenials,1.05
Albania,2004,male,5-14 years,1,302181,Albania2004,,"7,31,48,65,176",2544,Millenials,0.33
Albania,2005,female,15-24 years,0,281922,Albania2005,0.695,"8,15,85,48,717",2931,Millenials,0
Albania,2005,female,25-34 years,0,190745,Albania2005,0.695,"8,15,85,48,717",2931,Generation X,0
Albania,2005,female,35-54 years,0,386513,Albania2005,0.695,"8,15,85,48,717",2931,Boomers,0
Albania,2005,female,5-14 years,0,276559,Albania2005,0.695,"8,15,85,48,717",2931,Millenials,0
Albania,2005,female,55-74 years,0,210998,Albania2005,0.695,"8,15,85,48,717",2931,Silent,0
Albania,2005,female,75+ years,0,53191,Albania2005,0.695,"8,15,85,48,717",2931,Silent,0
Albania,2005,male,15-24 years,0,281675,Albania2005,0.695,"8,15,85,48,717",2931,Millenials,0
Albania,2005,male,25-34 years,0,177519,Albania2005,0.695,"8,15,85,48,717",2931,Generation X,0
Albania,2005,male,35-54 years,0,380242,Albania2005,0.695,"8,15,85,48,717",2931,Boomers,0
Albania,2005,male,5-14 years,0,291367,Albania2005,0.695,"8,15,85,48,717",2931,Millenials,0
Albania,2005,male,55-74 years,0,214118,Albania2005,0.695,"8,15,85,48,717",2931,Silent,0
Albania,2005,male,75+ years,0,38471,Albania2005,0.695,"8,15,85,48,717",2931,Silent,0
Albania,2006,female,15-24 years,0,283138,Albania2006,,"8,99,26,42,349",3235,Millenials,0
Albania,2006,female,25-34 years,0,186391,Albania2006,,"8,99,26,42,349",3235,Generation X,0
Albania,2006,female,35-54 years,0,388746,Albania2006,,"8,99,26,42,349",3235,Boomers,0
Albania,2006,female,5-14 years,0,267316,Albania2006,,"8,99,26,42,349",3235,Millenials,0
Albania,2006,female,55-74 years,0,215907,Albania2006,,"8,99,26,42,349",3235,Silent,0
Albania,2006,female,75+ years,0,56011,Albania2006,,"8,99,26,42,349",3235,Silent,0
Albania,2006,male,15-24 years,0,286679,Albania2006,,"8,99,26,42,349",3235,Millenials,0
Albania,2006,male,25-34 years,0,174092,Albania2006,,"8,99,26,42,349",3235,Generation X,0
Albania,2006,male,35-54 years,0,379076,Albania2006,,"8,99,26,42,349",3235,Boomers,0
Albania,2006,male,5-14 years,0,282678,Albania2006,,"8,99,26,42,349",3235,Millenials,0
Albania,2006,male,55-74 years,0,219360,Albania2006,,"8,99,26,42,349",3235,Silent,0
Albania,2006,male,75+ years,0,40782,Albania2006,,"8,99,26,42,349",3235,Silent,0
Albania,2007,male,75+ years,8,42366,Albania2007,,"10,70,10,11,897",3863,Silent,18.88
Albania,2007,male,35-54 years,29,378626,Albania2007,,"10,70,10,11,897",3863,Boomers,7.66
Albania,2007,male,55-74 years,14,224160,Albania2007,,"10,70,10,11,897",3863,Silent,6.25
Albania,2007,female,75+ years,3,57404,Albania2007,,"10,70,10,11,897",3863,Silent,5.23
Albania,2007,male,25-34 years,9,172494,Albania2007,,"10,70,10,11,897",3863,Generation X,5.22
Albania,2007,female,15-24 years,13,281080,Albania2007,,"10,70,10,11,897",3863,Millenials,4.63
Albania,2007,male,15-24 years,13,288349,Albania2007,,"10,70,10,11,897",3863,Millenials,4.51
Albania,2007,female,25-34 years,8,183629,Albania2007,,"10,70,10,11,897",3863,Generation X,4.36
Albania,2007,female,55-74 years,9,221120,Albania2007,,"10,70,10,11,897",3863,Silent,4.07
Albania,2007,female,35-54 years,14,391811,Albania2007,,"10,70,10,11,897",3863,Boomers,3.57
Albania,2007,male,5-14 years,4,272497,Albania2007,,"10,70,10,11,897",3863,Generation Z,1.47
Albania,2007,female,5-14 years,0,256808,Albania2007,,"10,70,10,11,897",3863,Generation Z,0
Albania,2008,male,25-34 years,21,172855,Albania2008,,"12,88,13,52,688",4672,Generation X,12.15
Albania,2008,male,35-54 years,37,377119,Albania2008,,"12,88,13,52,688",4672,Boomers,9.81
Albania,2008,male,55-74 years,21,228672,Albania2008,,"12,88,13,52,688",4672,Silent,9.18
Albania,2008,female,75+ years,5,59369,Albania2008,,"12,88,13,52,688",4672,Silent,8.42
Albania,2008,female,15-24 years,20,276073,Albania2008,,"12,88,13,52,688",4672,Millenials,7.24
Albania,2008,female,25-34 years,9,182663,Albania2008,,"12,88,13,52,688",4672,Generation X,4.93
Albania,2008,female,35-54 years,19,393832,Albania2008,,"12,88,13,52,688",4672,Boomers,4.82
Albania,2008,male,75+ years,2,44574,Albania2008,,"12,88,13,52,688",4672,Silent,4.49
Albania,2008,male,15-24 years,11,286702,Albania2008,,"12,88,13,52,688",4672,Millenials,3.84
Albania,2008,female,55-74 years,7,226448,Albania2008,,"12,88,13,52,688",4672,Silent,3.09
Albania,2008,male,5-14 years,7,262464,Albania2008,,"12,88,13,52,688",4672,Generation Z,2.67
Albania,2008,female,5-14 years,1,246288,Albania2008,,"12,88,13,52,688",4672,Generation Z,0.41
Albania,2009,female,15-24 years,0,270003,Albania2009,,"12,04,42,12,904",4387,Millenials,0
Albania,2009,female,25-34 years,0,182712,Albania2009,,"12,04,42,12,904",4387,Generation X,0
Albania,2009,female,35-54 years,0,394286,Albania2009,,"12,04,42,12,904",4387,Boomers,0
Albania,2009,female,5-14 years,0,236174,Albania2009,,"12,04,42,12,904",4387,Generation Z,0
Albania,2009,female,55-74 years,0,233302,Albania2009,,"12,04,42,12,904",4387,Silent,0
Albania,2009,female,75+ years,0,61582,Albania2009,,"12,04,42,12,904",4387,Silent,0
Albania,2009,male,15-24 years,0,283448,Albania2009,,"12,04,42,12,904",4387,Millenials,0
Albania,2009,male,25-34 years,0,174955,Albania2009,,"12,04,42,12,904",4387,Generation X,0
Albania,2009,male,35-54 years,0,374365,Albania2009,,"12,04,42,12,904",4387,Boomers,0
Albania,2009,male,5-14 years,0,253007,Albania2009,,"12,04,42,12,904",4387,Generation Z,0
Albania,2009,male,55-74 years,0,234570,Albania2009,,"12,04,42,12,904",4387,Silent,0
Albania,2009,male,75+ years,0,47331,Albania2009,,"12,04,42,12,904",4387,Silent,0
Albania,2010,male,55-74 years,20,241852,Albania2010,0.722,"11,92,69,53,259",4359,Silent,8.27
Albania,2010,male,35-54 years,20,371611,Albania2010,0.722,"11,92,69,53,259",4359,Generation X,5.38
Albania,2010,male,25-34 years,9,179720,Albania2010,0.722,"11,92,69,53,259",4359,Generation X,5.01
Albania,2010,male,75+ years,2,50767,Albania2010,0.722,"11,92,69,53,259",4359,Silent,3.94
Albania,2010,male,15-24 years,10,279508,Albania2010,0.722,"11,92,69,53,259",4359,Millenials,3.58
Albania,2010,female,25-34 years,6,183579,Albania2010,0.722,"11,92,69,53,259",4359,Generation X,3.27
Albania,2010,female,75+ years,2,64415,Albania2010,0.722,"11,92,69,53,259",4359,Silent,3.1
Albania,2010,female,35-54 years,12,394593,Albania2010,0.722,"11,92,69,53,259",4359,Generation X,3.04
Albania,2010,female,55-74 years,7,241491,Albania2010,0.722,"11,92,69,53,259",4359,Silent,2.9
Albania,2010,female,15-24 years,6,263581,Albania2010,0.722,"11,92,69,53,259",4359,Millenials,2.28
Albania,2010,female,5-14 years,2,223969,Albania2010,0.722,"11,92,69,53,259",4359,Generation Z,0.89
Albania,2010,male,5-14 years,0,240939,Albania2010,0.722,"11,92,69,53,259",4359,Generation Z,0
Antigua and Barbuda,1985,female,15-24 years,0,7709,Antigua and Barbuda1985,,"24,09,23,926",3850,Generation X,0
Antigua and Barbuda,1985,female,25-34 years,0,6344,Antigua and Barbuda1985,,"24,09,23,926",3850,Boomers,0
Antigua and Barbuda,1985,female,35-54 years,0,6173,Antigua and Barbuda1985,,"24,09,23,926",3850,Silent,0
Antigua and Barbuda,1985,female,5-14 years,0,7339,Antigua and Barbuda1985,,"24,09,23,926",3850,Generation X,0
Antigua and Barbuda,1985,female,55-74 years,0,3778,Antigua and Barbuda1985,,"24,09,23,926",3850,G.I. Generation,0
Antigua and Barbuda,1985,female,75+ years,0,949,Antigua and Barbuda1985,,"24,09,23,926",3850,G.I. Generation,0
Antigua and Barbuda,1985,male,15-24 years,0,7667,Antigua and Barbuda1985,,"24,09,23,926",3850,Generation X,0
Antigua and Barbuda,1985,male,25-34 years,0,6194,Antigua and Barbuda1985,,"24,09,23,926",3850,Boomers,0
Antigua and Barbuda,1985,male,35-54 years,0,5970,Antigua and Barbuda1985,,"24,09,23,926",3850,Silent,0
Antigua and Barbuda,1985,male,5-14 years,0,7304,Antigua and Barbuda1985,,"24,09,23,926",3850,Generation X,0
Antigua and Barbuda,1985,male,55-74 years,0,2723,Antigua and Barbuda1985,,"24,09,23,926",3850,G.I. Generation,0
Antigua and Barbuda,1985,male,75+ years,0,424,Antigua and Barbuda1985,,"24,09,23,926",3850,G.I. Generation,0
Antigua and Barbuda,1986,female,15-24 years,0,7668,Antigua and Barbuda1986,,"29,04,40,148",4740,Generation X,0
